date;temperature
01.01.2025;4.7251124
02.01.2025;6.9671955
03.01.2025;1.718862
04.01.2025;-0.06613818
05.01.2025;9.58678
06.01.2025;9.804278
07.01.2025;5.0630283
08.01.2025;8.070945
09.01.2025;9.403862
10.01.2025;2.4409454
11.01.2025;0.27011195
12.01.2025;-0.4148879
13.01.2025;-0.7028048
14.01.2025;-0.95697135
15.01.2025;1.0146953
16.01.2025;0.8709453
17.01.2025;1.0955285
18.01.2025;0.9842787
19.01.2025;2.3796952
20.01.2025;3.7859457
21.01.2025;3.8313618
22.01.2025;3.9338624
23.01.2025;7.138029
24.01.2025;7.8409457
25.01.2025;12.191363
26.01.2025;8.363029
27.01.2025;10.013445
28.01.2025;7.783863
29.01.2025;7.2871957
30.01.2025;6.9130287
31.01.2025;5.8851123
01.02.2025;2.5659451
02.02.2025;2.5484455
03.02.2025;3.0755284
04.02.2025;3.1392787
05.02.2025;3.9951117
06.02.2025;2.6963618
07.02.2025;4.798445
08.02.2025;4.6267786
09.02.2025;5.9396954
10.02.2025;6.926779
11.02.2025;9.025529
12.02.2025;9.42178
13.02.2025;5.843862
14.02.2025;1.1551119
15.02.2025;1.8301119
16.02.2025;3.6867783
17.02.2025;2.8446953
18.02.2025;2.8834455
19.02.2025;4.1759458
20.02.2025;10.2692795
21.02.2025;10.838862
22.02.2025;11.357194
23.02.2025;11.013863
24.02.2025;10.583862
25.02.2025;10.825528
26.02.2025;6.2580285
27.02.2025;5.768862
28.02.2025;4.5909452
01.03.2025;4.298029
02.03.2025;4.2946954
03.03.2025;4.8888617
04.03.2025;7.5709443
05.03.2025;9.048447
06.03.2025;10.339279
07.03.2025;9.982613
08.03.2025;9.786778
09.03.2025;10.327613
10.03.2025;11.36053
11.03.2025;11.232613
12.03.2025;9.216363
13.03.2025;6.8759456
14.03.2025;4.658862
15.03.2025;6.7584443
16.03.2025;6.2738614
17.03.2025;6.3605294
18.03.2025;5.503029
19.03.2025;8.290528
20.03.2025;11.935112
21.03.2025;13.047196
22.03.2025;13.917613
23.03.2025;12.109695
24.03.2025;12.438446
25.03.2025;12.41053
26.03.2025;11.428864
27.03.2025;10.302611
28.03.2025;8.493445
29.03.2025;10.025944
30.03.2025;9.258029
31.03.2025;8.212612
01.04.2025;7.597195
02.04.2025;10.962195
03.04.2025;12.743862
04.04.2025;14.43428
05.04.2025;14.603446
06.04.2025;11.347613
07.04.2025;7.958445
08.04.2025;9.867613
09.04.2025;11.070947
10.04.2025;11.670944
11.04.2025;13.302196
12.04.2025;15.150948
13.04.2025;15.447198
14.04.2025;15.870113
15.04.2025;15.614696
16.04.2025;11.904695
17.04.2025;8.866778
18.04.2025;9.098863
19.04.2025;13.446777
20.04.2025;13.491363
21.04.2025;13.662612
22.04.2025;13.276362
23.04.2025;12.64553
24.04.2025;10.870946
